,PER,PBR,予想配当利回り(%),ROE(%),ROA(%),時価総額(10億円),今期経常利益変化率(%),過去3年平均売上高成長率(%),売上高経常利益率(%),業績予想修正率(%),自己資本比率(%),株価25日移動平均からの乖離率(%),株価75日移動平均からの乖離率(%),平均売買代金(100万円),過去60日ボラティリティー(%),ヒストリカル・ベータ,過去14日RSI,信用残／売買高レシオ,成長性,割安性,企業規模,テクニカル,財務健全性,市場トレンド,クォンツスコア
2915(ケンコーマヨ),22.99,0.68,1.02,2.95,1.68,24.14,-26.83,-0.26,2.05,0.0,57.09,-4.16,-5.47,34.52,23.3,0.54,32.08,0.66,2,7,4,5,7,6,52/100
2916(仙波糖化),9.99,0.72,2.38,7.22,3.3,7.19,8.14,-2.57,5.53,0.0,45.71,-2.15,-5.34,0.7,14.38,0.18,42.71,2.76,4,9,1,5,4,3,43/100
2917(大森屋),,0.37,,,,3.94,,,,0.0,76.78,-2.11,-4.21,1.69,14.77,0.31,22.86,3.54,5,5,1,5,9,6,52/100
2918(わらべ日洋),11.33,0.82,1.94,7.25,3.89,36.26,42.86,-3.77,2.76,0.0,53.68,-8.51,-12.14,187.09,28.76,0.71,36.88,0.84,4,9,5,8,6,3,58/100
2919(マルタイ),15.1,0.73,1.52,4.83,3.81,6.34,-35.13,-2.95,8.74,0.0,78.97,-2.06,-3.89,0.34,11.5,-0.27,28.21,,2,7,1,5,10,9,57/100
2922(なとり),18.16,1.32,1.12,7.27,4.14,29.42,-3.12,-1.06,5.4,0.0,56.89,0.66,0.03,9.54,15.0,0.44,56.78,0.14,4,5,3,8,6,7,55/100
2923(サトウ食品),,1.58,,,,23.42,,,,0.0,46.81,-10.98,-11.48,11.28,21.62,0.07,13.71,0.78,5,5,3,8,4,5,50/100
2924(イフジ産業),9.47,1.17,2.76,12.36,7.53,7.87,0.99,6.22,7.48,0.0,60.91,0.83,-0.36,3.23,15.96,0.2,60.98,5.39,8,8,1,6,7,3,55/100
2925(ピックルス),12.29,1.6,0.96,12.99,7.32,23.35,3.92,4.62,6.32,0.0,56.36,0.32,-3.61,101.1,39.5,0.9,45.03,2.62,8,7,4,8,6,1,57/100
2926(篠崎屋),98.31,1.47,0.0,1.49,1.13,1.67,5.26,-7.67,1.32,6.33,76.1,0.14,1.78,6.55,20.02,0.71,50.0,19.73,1,2,1,5,9,8,43/100
2927(ＡＦＣ- ＨＤ),,1.46,2.93,0.0,0.0,14.75,,,,0.0,38.04,-1.07,-11.18,134.55,54.11,1.14,63.01,8.02,5,3,4,6,3,1,37/100
2928(ＲＩＺＡＰ),35.06,3.81,0.0,10.86,1.88,105.13,,-6.86,2.94,0.0,17.34,2.52,1.09,37.82,23.13,0.16,64.71,,3,2,6,6,1,6,40/100
2929(ファーマＦ),18.17,8.63,0.8,47.51,19.2,73.06,0.36,60.52,9.55,4.76,40.41,-3.41,-8.73,1555.73,44.42,1.43,38.48,1.75,10,5,8,5,3,2,55/100
2930(北の達人),47.65,11.33,0.65,23.79,19.87,58.69,-11.38,6.16,18.43,0.0,83.52,-3.06,-13.88,260.8,32.75,0.68,31.08,1.41,8,3,7,5,10,5,63/100
2931(ユーグレナ),-231.32,9.87,0.0,-4.27,-2.61,92.44,,16.37,-0.76,3.85,61.0,-0.43,-5.37,690.87,26.99,0.79,43.75,1.73,7,1,8,5,7,7,58/100
2932(ＳＴＩＦＨＤ),17.72,5.52,1.61,31.13,9.8,19.67,34.8,13.38,6.62,0.0,31.49,-5.0,-12.5,51.1,31.99,0.88,26.9,7.44,10,6,4,5,2,2,48/100
2933(紀文食品),12.63,2.95,1.35,23.36,3.63,25.43,-9.63,-0.53,2.93,0.0,15.55,-8.79,-11.88,70.04,19.03,0.55,8.63,8.16,6,7,4,5,1,2,42/100
2934(ジェイフロ),20.13,8.55,0.0,41.31,20.16,10.82,20.32,19.69,7.78,0.0,48.8,-21.35,-29.35,227.39,80.54,0.5,31.68,5.86,10,7,3,9,5,1,58/100
2961(日本調理機),6.13,0.54,4.89,7.65,3.42,2.97,27.29,,3.67,0.0,44.68,-0.72,-0.72,,,0.5,50.0,,5,10,1,4,4,4,47/100
2970(グッドライフ),27.73,2.02,0.0,7.29,4.27,4.19,4.35,33.58,3.43,0.0,58.47,6.23,6.21,0.92,25.24,0.83,78.81,495.48,10,2,1,4,8,5,50/100
2971(エスコンＪＰ),19.78,1.69,5.06,8.52,4.47,49.63,25.37,9.49,50.83,0.0,52.51,0.9,0.33,97.49,13.97,0.4,56.25,4.44,9,4,6,8,7,9,72/100
2972(サンケイＲＥ),20.58,1.51,4.86,7.35,3.46,56.85,36.29,11.71,49.8,-0.09,47.03,-0.48,-3.55,99.31,19.7,0.41,52.66,0.75,9,5,6,5,5,9,65/100
2974(大英産業),5.36,0.45,2.31,8.31,1.64,2.84,-19.54,4.57,2.54,-6.87,19.74,-11.4,-21.68,0.77,36.87,0.59,20.82,,6,10,1,9,1,1,47/100
2975(スターマイカ),12.24,1.38,1.83,11.28,2.89,27.12,27.56,268.11,8.5,0.0,25.58,-0.72,2.45,66.33,37.71,0.51,50.46,1.03,10,6,4,7,3,1,52/100
2976(日グランデ),14.29,0.53,1.41,3.71,0.71,0.89,13.25,0.51,1.86,0.0,19.05,1.31,0.83,0.11,21.15,0.35,82.76,,4,7,1,7,1,2,37/100
2978(ツクルバ),-13.68,14.92,0.0,-109.1,-30.0,12.46,,18.34,-37.18,2.6,27.49,5.02,-3.96,29.26,58.58,0.15,63.39,21.18,6,1,3,8,3,3,40/100
2979(ソシラ物流),37.69,1.63,2.96,4.32,2.55,103.37,-0.72,31.57,44.42,0.0,59.0,0.59,-2.17,331.8,17.99,0.17,52.47,1.01,9,3,7,6,9,10,73/100
2980(ＳＲＥＨＤ),165.89,17.66,0.0,10.65,6.77,138.53,25.12,52.02,10.85,0.0,63.54,13.86,19.0,697.82,50.53,1.32,82.91,0.74,10,1,8,8,8,7,70/100
2981(ランディクス),12.98,1.75,1.67,13.49,7.21,8.45,64.32,16.04,10.5,0.0,53.43,14.54,21.95,18.65,38.84,0.34,74.55,12.56,10,3,2,5,8,7,58/100
2982(ＡＤＷＧ),19.01,0.56,2.16,2.88,1.06,7.34,5.45,0.81,2.61,0.0,36.83,0.52,2.05,20.89,13.05,0.23,58.33,-1.1,4,6,2,7,5,4,47/100
2983(アールプラン),13.83,4.22,0.0,30.5,4.37,9.68,100.76,17.55,3.89,3.7,14.32,27.93,86.58,239.47,83.99,2.1,71.68,2.28,10,1,3,6,1,3,40/100
2986(ＬＡホールデ),5.3,2.48,2.17,46.86,8.46,10.6,206.75,5.43,18.75,0.0,18.06,-2.22,16.75,122.96,46.97,0.16,48.27,8.12,10,8,3,7,1,1,50/100
2987(タスキ),17.45,5.27,2.03,30.2,9.39,16.23,22.3,36.48,10.46,1.21,31.07,28.12,50.38,161.7,51.41,1.64,86.89,2.5,10,1,4,3,4,5,45/100
2989(東海道リート),50.79,,1.97,,,19.31,,,,0.0,,1.42,0.59,67.96,10.79,-0.11,67.14,14.49,5,5,4,5,5,10,57/100
2991(ランドネット),7.84,1.43,1.0,18.17,8.0,7.6,21.75,17.35,2.88,0.0,44.02,22.02,30.96,31.23,52.59,1.78,80.85,7.39,10,6,2,3,6,4,52/100
3001(片倉),18.17,1.39,0.0,7.65,3.27,79.94,-16.37,-4.62,9.9,0.0,42.81,25.05,38.94,105.85,49.6,0.7,88.91,3.35,2,2,7,4,5,10,50/100
3002(グンゼ),14.16,0.7,3.41,4.93,3.51,79.3,41.34,-3.25,5.67,0.0,71.14,-4.45,-7.26,161.4,20.7,0.75,36.8,-0.19,4,8,7,5,9,9,70/100
3003(ヒューリック),13.04,1.76,3.4,13.36,3.22,857.75,4.57,13.9,23.81,0.0,24.09,-0.45,-9.47,6645.79,28.84,1.04,51.43,0.2,9,8,10,5,2,2,60/100
3004(神栄),7.26,1.49,0.0,20.58,2.6,3.99,10.95,-4.4,2.01,0.0,12.61,-0.51,-4.39,5.62,31.05,1.92,50.43,7.58,5,9,1,4,1,1,35/100
3010(ポラリスＨＤ),-9.56,-6.07,0.0,0.0,-10.01,4.78,,-12.24,-15.62,0.0,-15.75,-3.39,-6.19,2.15,30.52,0.86,33.33,5.43,1,1,1,5,1,2,18/100
3011(バナーズ),27.03,1.11,1.63,4.1,0.99,2.49,300.0,-0.37,2.75,0.0,24.19,0.49,1.5,0.95,15.43,0.3,50.0,22.96,7,3,1,7,2,2,37/100
3020(アプライド),4.71,0.82,1.49,17.31,9.18,7.25,0.13,6.33,6.67,0.0,53.03,-3.93,-0.71,8.07,29.92,0.25,41.04,48.09,8,10,1,2,7,5,55/100
3021(ＰＣＮＥＴ),12.18,3.01,2.55,24.74,10.36,7.31,20.58,12.85,15.33,0.0,41.88,-20.67,-39.67,83.46,55.35,1.2,20.91,5.41,10,9,2,8,4,1,57/100
3023(ラサ商事),7.39,0.67,4.59,9.06,5.09,11.83,-8.07,-2.82,7.59,0.0,56.25,-2.32,-0.91,18.72,13.68,0.56,32.53,6.28,3,9,2,5,7,5,52/100
3024(クリエイト),39.88,0.57,0.66,1.44,0.39,2.39,566.67,-1.08,0.71,0.0,27.47,-0.36,-1.44,0.99,9.87,0.08,48.48,10.35,6,4,1,2,2,6,35/100
3028(アルペン),8.48,0.9,2.07,10.62,5.56,97.98,11.31,3.15,7.5,0.0,52.33,-11.97,-23.74,384.51,36.02,0.91,20.53,0.51,7,10,7,10,7,1,70/100
3030(ハブ),,6.5,0.0,0.0,0.0,9.29,,-6.06,0.0,0.0,25.07,-2.61,-0.05,21.59,43.33,0.46,45.09,6.99,1,1,2,6,2,4,27/100
3031(ラクーンＨＤ),37.76,6.9,1.22,18.26,7.79,36.63,21.71,21.19,27.92,0.0,42.65,4.19,-10.18,443.63,58.41,0.71,65.45,3.01,10,3,6,7,4,3,55/100
3032(ゴルフ・ドゥ),7.25,2.32,0.0,32.06,5.18,1.16,0.88,3.39,4.26,0.0,16.16,-0.4,-4.09,0.95,30.84,0.71,47.76,,8,9,1,4,1,1,40/100
3034(クオールＨＤ),11.97,1.45,1.82,12.15,4.97,59.87,35.08,6.63,5.71,0.0,40.93,-3.53,-2.4,213.11,40.21,0.97,34.68,0.81,9,7,6,6,4,2,57/100
3035(ＫＴＫ),7.54,0.72,3.27,9.54,3.85,2.45,2.3,1.21,2.83,2.63,40.31,-5.08,-5.21,19.47,41.42,0.39,38.64,8.76,6,10,1,6,4,1,47/100
3036(アルコニクス),6.77,0.98,2.97,14.49,4.19,41.98,57.4,-15.81,5.92,5.84,28.94,-4.7,-1.12,113.22,31.22,1.03,31.82,5.66,3,9,5,5,2,2,43/100
3038(神戸物産),57.11,19.78,0.48,34.63,13.5,1142.28,26.87,10.28,8.38,0.0,38.98,8.16,4.92,5336.56,38.54,0.59,72.97,1.24,10,1,10,6,4,9,67/100
3040(ソリトン),16.84,3.6,1.09,21.38,9.37,25.27,10.54,4.06,12.5,0.0,43.82,-9.44,-13.23,55.21,33.44,0.97,29.61,7.88,9,7,4,6,4,1,52/100
3041(ビ花壇),26.4,3.28,2.37,12.44,2.05,1.32,-20.0,-1.5,1.43,0.0,16.45,-0.38,-1.07,1.57,23.96,0.07,52.0,11.06,4,3,1,3,1,4,27/100
3042(セキュアヴェ),27.13,1.89,0.0,6.97,5.7,2.06,214.29,4.71,10.0,0.0,81.71,-3.9,-7.68,4.59,30.28,1.14,25.0,21.85,9,5,1,4,10,1,50/100
3045(カワサキ),19.32,0.73,3.47,3.77,3.04,3.34,-26.12,-6.35,17.42,0.0,80.46,-1.11,-12.28,1.35,26.88,-0.07,50.0,3.87,1,8,1,5,10,6,52/100
3046(ＪＩＮＳＨＤ),52.69,8.6,0.62,16.32,6.23,173.85,18.53,4.61,8.42,-1.07,38.14,-0.37,-2.23,354.55,24.63,0.59,50.91,2.51,9,2,8,3,3,9,57/100
3047(トラックワン),17.8,1.02,1.79,5.76,0.88,0.71,33.33,6.37,1.18,0.0,15.31,2.79,5.63,0.29,18.6,0.2,61.7,,8,4,1,6,1,2,37/100
3048(ビックカメラ),21.92,1.34,1.46,6.12,1.94,192.85,-19.09,-3.39,2.17,0.0,31.63,2.21,-3.0,647.07,20.14,0.54,64.1,0.91,2,5,8,5,2,8,50/100
3050(ＤＣＭ),9.55,0.78,2.88,8.11,3.87,181.53,3.89,0.95,6.7,0.0,47.71,-0.53,0.99,340.57,19.92,0.46,44.17,-0.09,5,8,8,6,5,7,65/100
3053(ペッパー),244.52,51.86,0.0,21.18,0.42,14.94,,-29.9,0.68,0.0,1.99,-1.02,-0.73,138.68,39.27,0.96,51.95,5.45,1,1,4,4,1,4,25/100
3054(ハイパー),41.66,1.74,1.63,4.17,1.89,5.42,-57.7,-1.41,0.67,0.0,45.31,-0.08,1.15,2.59,13.12,0.28,53.85,19.72,2,2,1,4,5,8,37/100
3055(ほくたけ),9.45,0.32,2.13,3.35,1.37,17.2,-7.1,0.13,1.06,0.0,40.89,-0.79,-1.36,0.41,13.03,0.19,57.14,,3,9,2,3,4,6,45/100
3057(ゼットン),,27.16,,,,4.05,,,,0.0,4.21,2.3,3.87,1.7,22.73,0.31,68.42,,5,5,1,6,1,3,35/100
3058(三洋堂ＨＤ),136.39,2.02,0.0,1.48,0.34,6.82,-70.1,-1.44,1.03,0.0,22.86,0.05,0.32,0.56,9.79,0.18,50.0,-1.31,1,1,1,9,2,5,32/100
3059(ヒラキ),11.62,0.74,1.97,6.34,2.63,5.23,-24.26,-1.3,4.26,0.0,41.48,-0.3,0.01,1.24,7.84,0.13,50.0,3.11,3,7,1,4,4,6,42/100
3063(Ｊグループ),,39.73,,,,5.48,,,,0.0,1.26,2.83,3.17,3.12,12.34,0.11,74.29,-1.33,5,5,1,7,1,3,37/100
3064(モノタロウ),69.21,25.57,0.48,36.94,21.26,1195.54,25.76,21.04,12.74,0.0,57.55,-5.45,-4.12,3512.25,32.06,0.5,35.7,0.62,10,1,10,6,8,9,73/100
3065(ライフフーズ),-16.66,2.59,0.0,-15.55,-5.31,6.13,,-8.66,-1.3,-1.34,34.17,0.45,-0.45,0.78,18.74,0.03,56.38,13.93,1,1,1,5,3,8,32/100
3066(ＪＢイレブン),42.05,7.19,0.68,16.94,2.48,5.6,,-2.72,-0.71,0.0,14.61,-1.23,-2.92,2.62,9.76,0.23,14.29,,5,2,1,3,1,5,28/100
3067(東京一番),-52.68,4.36,0.0,-8.29,-2.48,5.27,,13.08,-1.67,0.0,29.98,-0.2,-0.45,2.66,9.81,0.31,50.0,-5.62,6,1,1,5,2,5,33/100
3068(ＷＤＩ),22.45,3.12,0.45,13.87,3.49,11.23,,-10.49,-2.31,0.0,25.16,4.46,8.19,6.66,8.05,0.22,92.22,5.45,2,2,2,6,2,8,37/100
3069(ＪＦＬＡＨＤ),116.03,1.37,1.32,1.18,0.21,12.75,,6.58,0.56,0.0,17.77,-16.68,-20.65,24.92,37.02,0.11,7.61,3.44,6,5,3,10,1,1,43/100
3070(アマガサ),-3.03,27.94,0.0,-923.08,-43.73,1.82,,-26.36,-30.0,0.0,4.74,-0.1,2.82,4.56,10.28,0.67,50.0,7.23,1,1,1,4,1,6,23/100
3071(ストリーム),6.86,1.49,0.0,21.7,8.22,3.42,-4.69,7.83,2.16,0.0,37.88,-4.0,-17.64,9.33,48.04,0.45,26.67,12.1,9,10,1,5,3,1,48/100
3073(ＤＤＨＤ),41.73,-9.83,0.0,0.0,0.73,9.67,,-5.89,0.89,0.0,-3.14,-2.74,5.77,46.99,43.57,0.86,28.82,1.01,1,1,2,5,1,3,22/100
3075(銚子丸),46.73,2.45,0.52,5.25,2.85,16.91,-34.49,-2.39,3.15,0.0,54.33,-0.57,-0.71,11.26,13.1,0.17,42.71,2.26,2,2,3,5,6,9,45/100
3076(あいＨＤ),17.29,2.25,2.34,13.04,10.5,121.05,6.29,-2.04,22.06,0.0,80.58,-0.8,-3.49,143.49,25.86,0.96,51.71,0.24,5,5,7,7,10,8,70/100
3077(ホリイフード),,3.65,,,,2.83,,,,0.0,31.61,1.81,3.05,0.87,10.96,0.18,65.71,8.26,5,5,1,4,2,4,35/100
3079(ＤＶｘ),17.34,1.48,2.21,8.53,3.28,11.71,19.18,5.04,2.18,0.0,38.46,-2.38,1.47,8.16,31.28,0.66,50.57,2.2,8,4,2,7,4,2,45/100
3080(ジェーソン),12.13,1.33,1.79,10.93,5.55,6.43,-32.51,4.3,3.28,0.0,50.76,-3.17,-6.48,2.38,16.47,0.69,22.22,18.91,6,8,1,4,6,2,45/100
3082(きちりＨＤ),-13.66,7.19,0.0,-52.63,-4.87,5.47,,-12.11,-6.15,0.0,9.25,-17.68,-16.64,12.14,35.66,0.42,16.23,-13.31,1,2,1,9,1,1,25/100
3083(シーズメン),60.15,3.25,0.0,5.4,3.24,3.01,,6.35,-7.05,0.0,60.01,51.27,138.47,293.41,195.43,1.6,62.12,0.72,7,1,2,5,8,4,45/100
3085(ＡＬサービス),20.14,3.67,1.3,18.21,11.61,76.55,27.36,12.88,14.09,0.0,63.78,1.8,1.12,145.33,18.09,0.65,58.53,0.24,10,3,7,7,7,8,70/100
3101(東洋紡),8.98,0.63,3.05,7.0,2.65,116.74,15.91,2.76,6.58,0.0,37.81,-3.36,-4.88,411.68,21.36,0.84,37.04,0.74,7,9,8,5,4,4,62/100
3103(ユニチカ),4.45,0.45,0.0,10.13,2.1,17.8,0.35,-3.27,4.64,0.0,20.73,-13.77,-13.87,160.81,34.38,1.41,22.68,3.01,3,10,4,7,1,1,43/100
3104(富士紡ＨＤ),11.29,1.27,2.72,11.27,7.53,47.41,11.93,-1.87,17.43,2.64,66.83,0.38,-2.6,87.83,26.32,0.96,53.85,3.92,5,7,6,6,8,7,65/100
3105(日清紡ＨＤ),13.32,0.7,3.36,5.24,2.06,159.89,419.33,-3.09,3.59,0.0,39.38,0.74,-0.37,1025.89,32.81,0.74,50.4,0.66,6,7,8,7,3,3,57/100
3106(クラボウ),9.13,0.42,3.17,4.6,2.52,39.25,53.23,-5.65,4.96,6.82,54.8,-0.75,-3.59,35.72,24.42,0.73,50.71,4.56,3,10,5,4,6,6,57/100
3107(ダイワボＨＤ),9.83,1.42,3.18,14.42,4.82,181.92,-20.35,2.27,3.48,0.0,33.43,-3.57,-6.53,494.2,34.37,0.72,44.07,0.08,6,8,8,7,3,3,58/100
3109(シキボウ),13.6,0.35,4.34,2.58,0.97,10.88,38.89,-4.49,3.67,0.0,37.45,-1.06,-1.38,16.33,10.56,0.58,39.06,14.01,3,8,2,2,4,6,42/100
3110(日東紡),26.8,1.35,1.34,5.04,2.71,133.98,5.2,0.79,7.86,0.0,53.69,-5.5,-4.57,170.61,32.22,1.16,32.89,0.94,5,4,7,6,5,6,55/100
3111(オーミケンシ),-1.39,0.66,0.0,-47.73,-8.57,2.78,,-19.73,2.0,0.0,17.96,-3.61,-9.81,3.15,18.45,0.7,37.68,28.47,1,1,1,4,1,4,20/100
3113(Ｏａｋ),-10.06,0.99,0.0,-9.86,-6.06,4.72,,7.26,-20.83,-80.82,61.51,-7.17,-11.88,6.66,24.45,0.38,16.67,18.38,5,2,1,5,9,4,43/100
3116(トヨタ紡織),9.01,1.26,2.84,14.03,5.56,423.37,27.3,-0.28,5.21,0.0,39.6,5.55,7.41,1339.71,31.14,1.05,74.45,-0.04,7,7,9,7,4,5,65/100
3121(マーチャント),96.73,6.45,0.25,6.66,2.19,22.25,165.15,12.74,13.21,0.0,32.81,54.77,100.0,1297.87,82.0,0.84,82.67,0.78,10,1,6,6,3,3,48/100
3123(サイボー),17.48,0.42,3.11,2.41,0.89,6.12,-29.06,1.16,7.25,19.14,37.08,-1.11,-2.28,0.33,11.64,0.32,30.3,30.1,2,7,1,2,4,6,37/100
3131(シンデンハイ),6.68,0.81,4.65,12.14,3.43,4.67,49.57,-2.35,2.46,18.45,28.26,2.89,10.06,20.52,44.39,0.94,62.9,17.47,6,8,1,7,2,1,42/100
3132(マクニカ富士),8.4,1.18,3.0,14.07,7.42,167.91,76.84,11.52,4.03,4.89,52.74,2.63,0.26,469.87,34.52,1.07,58.55,1.32,10,8,8,8,7,3,73/100
3133(海帆),,-4.5,0.0,,0.0,2.96,,,,0.0,-90.75,-18.87,-52.95,66.61,95.11,-0.47,42.03,0.49,5,2,1,8,1,1,30/100
3134(Ｈａｍｅｅ),12.33,3.09,1.68,25.07,19.33,19.88,4.66,10.77,16.06,0.0,77.12,-8.82,-16.76,110.83,37.44,0.43,25.5,2.28,9,8,4,7,10,2,67/100
3135(マーケットＥ),-8.22,2.52,0.0,-30.6,-12.71,3.62,-1365.62,12.62,-3.38,0.0,41.55,-5.56,-15.78,5.07,44.98,1.09,40.13,17.74,2,2,1,5,4,2,27/100
3136(エコノス),29.17,1.72,0.0,5.9,0.78,0.62,700.0,1.73,0.84,0.0,13.18,0.1,-1.41,0.0,10.83,-0.16,0.0,,8,4,1,5,1,2,35/100
3137(ファンデリー),46.34,1.21,0.61,2.62,0.88,3.15,,5.02,2.37,0.0,33.63,-2.11,-11.37,4.54,22.02,0.12,47.47,-0.46,6,5,1,5,3,2,37/100
3138(富士山ＭＳ),14.57,1.94,0.0,13.3,4.02,2.91,-7.41,18.48,5.22,0.0,30.21,2.16,3.41,2.22,20.24,0.7,58.87,34.72,9,4,1,4,2,3,38/100
3139(ラクトＪ),12.63,1.45,1.25,11.47,4.63,25.41,1.08,-0.09,2.44,0.0,40.41,-6.21,-6.07,48.68,23.08,0.7,30.25,0.33,5,7,4,5,4,5,50/100
3140(ＢＲＵＮＯ),24.91,2.74,0.45,10.99,6.1,12.95,0.48,3.95,6.18,4.04,55.47,-0.68,-2.41,6.17,6.05,0.31,34.62,5.27,7,3,2,3,7,8,50/100
3141(ウエルシア),33.58,5.05,0.69,15.04,6.2,906.67,3.93,9.44,4.66,0.0,41.2,2.71,7.38,1615.3,27.49,0.51,62.16,-0.27,9,1,10,7,4,9,67/100
3143(オーウイル),7.72,1.14,3.82,14.75,4.76,3.71,30.67,-4.21,2.62,3.91,32.25,0.67,6.94,8.26,21.15,0.22,54.01,13.74,5,7,1,6,3,4,43/100
3148(クリエイトＳ),18.0,2.38,1.34,13.21,7.79,229.86,3.88,7.21,5.62,0.0,58.99,-4.11,-7.79,113.19,17.96,0.69,30.0,-0.04,8,6,8,7,8,8,75/100
3150(グリムス),31.47,10.86,0.52,34.52,16.05,65.23,80.8,18.41,15.76,0.0,46.49,-0.32,-0.64,612.61,52.47,1.36,55.89,0.22,10,2,7,7,5,3,57/100
3151(バイタルＫＳ),11.68,0.45,3.15,3.89,1.28,46.71,506.06,-1.04,0.77,0.0,33.06,-1.4,-3.01,54.7,28.84,0.48,47.64,1.17,7,9,5,5,3,2,52/100
3153(八洲電機),12.22,0.93,2.38,7.59,3.1,20.17,8.04,-3.14,3.97,0.0,40.8,-2.91,-5.87,18.49,23.06,0.77,30.99,0.36,4,8,3,6,4,2,45/100
3154(メディアス),23.56,1.29,1.5,5.49,1.03,20.5,-59.07,2.81,0.61,0.0,18.76,3.75,1.51,14.96,32.52,0.74,58.92,0.86,3,3,3,7,1,3,33/100
3156(レスターＨＤ),11.43,0.78,4.47,6.81,2.63,57.14,23.04,16.92,2.0,0.0,38.55,0.51,-0.94,118.82,18.76,0.91,52.14,1.23,9,8,6,5,4,4,60/100
3157(ジューテック),8.22,0.94,2.53,11.43,2.79,15.21,49.8,0.58,1.88,19.9,24.37,-3.68,-1.17,9.99,38.54,0.38,51.61,4.84,7,9,2,7,2,1,47/100
3159(丸善ＣＨＩ),18.36,0.87,0.53,4.71,1.41,34.89,-7.01,-0.02,1.95,0.0,29.99,0.29,-1.75,8.95,14.22,0.31,57.14,2.76,3,6,4,5,2,5,42/100
3160(大光),39.26,2.21,1.26,5.63,1.51,9.62,12.66,-3.07,0.78,0.0,26.86,1.21,2.95,10.44,9.17,0.23,67.86,-24.94,3,2,2,8,2,5,37/100
3161(アゼアス),15.5,0.66,2.99,4.28,3.04,4.08,-53.77,0.85,4.15,0.0,71.01,-1.55,-6.97,11.09,37.22,1.02,32.2,18.89,2,8,1,5,9,2,45/100
3166(ＯＣＨＩＨＤ),5.83,1.01,3.64,17.24,5.18,17.2,22.84,0.44,2.55,2.92,30.07,-0.53,-1.14,5.73,15.37,0.1,51.3,4.32,7,10,2,2,2,5,47/100
3167(ＴＯＫＡＩ),13.75,1.63,3.45,11.85,4.93,121.38,0.05,2.62,7.4,0.0,41.63,-1.31,-3.41,151.56,15.6,0.52,44.26,-0.14,6,6,7,4,4,7,57/100
3168(黒谷),17.4,1.06,3.12,6.08,2.23,9.19,-63.98,9.03,1.2,2.86,36.72,-6.99,-17.68,106.28,50.23,0.99,27.52,2.97,5,8,3,6,3,1,43/100
3169(ミサワ),10.32,2.12,1.19,20.49,10.71,4.8,-15.16,4.87,6.4,0.71,52.28,0.69,0.42,8.43,19.97,0.46,61.76,12.36,8,6,1,4,6,4,48/100
3172(ティーライフ),8.45,1.09,3.7,12.95,8.51,5.98,4.76,8.7,8.13,1.62,65.73,-1.74,-3.39,19.65,38.62,1.1,45.27,2.48,9,9,2,7,9,1,62/100
3173(コミニックス),6.27,0.86,3.73,13.79,4.37,4.97,357.02,1.2,2.13,0.0,31.66,-0.66,-0.34,3.26,10.4,0.46,44.74,7.45,9,10,1,2,2,2,43/100
3174(ハピネス＆Ｄ),33.1,1.12,1.63,3.38,0.7,2.35,,-13.49,1.13,-3.79,20.73,0.02,-1.21,0.76,14.13,0.09,46.43,7.48,1,3,1,5,1,6,28/100
3175(ＡＰＨＤ),15.7,10.66,0.0,67.87,3.0,4.71,,-20.33,10.0,-0.55,4.42,-1.04,-1.83,2.6,24.54,0.63,51.43,8.13,3,3,1,3,1,3,23/100
3176(三洋貿易),6.91,0.85,3.9,12.25,8.26,29.04,1.78,4.42,6.7,0.0,67.46,-9.57,-13.8,42.79,34.41,1.21,35.82,3.36,7,10,4,6,9,1,62/100
3177(ありがとうＳ),11.78,1.0,4.57,8.51,3.27,1.92,8.48,1.39,4.08,0.0,38.38,0.67,2.37,1.62,12.97,0.37,59.13,24.46,6,7,1,7,3,4,47/100
3178(チムニー),25.18,5.57,0.0,22.11,5.48,27.7,,-26.99,24.24,0.0,24.77,-2.2,-2.21,30.82,30.79,0.6,39.77,-1.04,2,3,4,6,2,5,37/100
3179(シュッピン),20.11,4.28,1.57,21.3,10.81,27.41,23.54,4.04,5.16,0.0,50.74,-9.89,-6.59,182.42,41.09,1.08,30.18,1.61,9,5,5,7,6,1,55/100
3180(Ｂガレージ),32.08,5.58,0.4,17.38,7.92,25.5,20.74,18.56,5.65,0.0,45.54,2.29,-2.1,282.83,54.63,0.82,54.46,2.69,10,2,5,7,5,4,55/100
3181(買取王国),18.98,0.56,0.0,2.96,1.74,1.12,-30.34,2.15,2.0,0.0,58.75,-3.01,-3.72,4.32,22.27,0.41,32.35,39.34,3,7,1,5,8,4,47/100
3182(オイシックス),55.56,8.73,0.0,15.71,7.84,166.69,-34.63,18.42,4.38,0.0,49.86,-6.98,0.79,800.56,51.3,0.76,38.26,0.65,9,1,8,7,6,6,62/100
3201(ニッケ),19.5,0.83,2.99,4.26,2.72,78.0,-33.62,-0.65,7.85,0.0,63.82,-2.69,-8.08,117.81,17.5,0.69,35.63,0.53,2,7,7,5,8,8,62/100
3202(ダイトウボウ),15.64,0.65,0.0,4.14,0.87,2.97,661.9,2.26,3.33,0.0,20.95,-0.28,-2.29,5.22,13.57,0.74,50.0,34.49,8,7,1,2,2,2,37/100
3204(トーア紡),22.72,0.36,2.31,1.57,0.54,3.86,1.01,-7.91,2.0,0.0,34.61,-0.19,0.18,2.24,12.35,0.35,53.49,14.44,1,6,1,3,3,6,33/100
